"location","acute_time","acute_care_transit_location","acute_care_centre","id","x","y","silver_rehab_centre","gold_rehab_centre","rehab_time"
"Toogoom",213,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1232,152.6898,-25.25614,"Gympie Hospital","Princess Alexandra Hospital (PAH)",141.2610208
"Pacific Haven",222,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1233,152.5565,-25.26683,"Gympie Hospital","Princess Alexandra Hospital (PAH)",137.67282888
"Hervey Bay",201,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1234,152.8722,-25.28535,"Gympie Hospital","Princess Alexandra Hospital (PAH)",150.73428445
"Howard",218,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1235,152.5602,-25.31648,"Gympie Hospital","Princess Alexandra Hospital (PAH)",132.897119615
"Torbanlea",214,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1236,152.596,-25.34752,"Gympie Hospital","Princess Alexandra Hospital (PAH)",129.548418005
"Walligan",203,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1237,152.771,-25.35161,"Gympie Hospital","Princess Alexandra Hospital (PAH)",135.542637465
"Sunshine Acres",201,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1238,152.7889,-25.35801,"Gympie Hospital","Princess Alexandra Hospital (PAH)",137.44560011
"Booral",206,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1239,152.9037,-25.36202,"Gympie Hospital","Princess Alexandra Hospital (PAH)",145.606301165
"Eidsvold",215,"Mundubbera Hospital","Brisbane (PAH/RBWH)",1240,151.1221,-25.37064,"Gympie Hospital","Princess Alexandra Hospital (PAH)",212.189615845
"River Heads",213,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1241,152.9102,-25.39864,"Gympie Hospital","Princess Alexandra Hospital (PAH)",149.020150095
"Aldershot",223,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1242,152.6613,-25.46311,"Gympie Hospital","Princess Alexandra Hospital (PAH)",120.3877298
"Biggenden",174,"Biggenden Hospital","Brisbane (PAH/RBWH)",1243,152.0449,-25.50952,"Gympie Hospital","Princess Alexandra Hospital (PAH)",138.42951925
"Oakhurst",228,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1244,152.6206,-25.51008,"Gympie Hospital","Princess Alexandra Hospital (PAH)",122.24219244
"Maryborough",215,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1245,152.6935,-25.52726,"Gympie Hospital","Princess Alexandra Hospital (PAH)",118.736034825
"Mundubbera",215,"Mundubbera Hospital","Brisbane (PAH/RBWH)",1246,151.2992,-25.59115,"Gympie Hospital","Princess Alexandra Hospital (PAH)",188.43640377
"Maaroom",243,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1247,152.8722,-25.61156,"Gympie Hospital","Princess Alexandra Hospital (PAH)",113.787637455
"Gayndah",224,"Gayndah Hospital","Brisbane (PAH/RBWH)",1248,151.6074,-25.62451,"Gympie Hospital","Princess Alexandra Hospital (PAH)",161.155053205
"Taroom",261,"Taroom Hospital","Brisbane (PAH/RBWH)",1249,149.7974,-25.6412,"Roma Hospital","Princess Alexandra Hospital (PAH)",207.957524475
"Boonooroo - Tuan",253,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1250,152.8771,-25.6788,"Gympie Hospital","Princess Alexandra Hospital (PAH)",110.89148217
"Poona",205,NA,"Brisbane (PAH/RBWH)",1251,152.9052,-25.71673,"Gympie Hospital","Princess Alexandra Hospital (PAH)",108.59372861
"Tiaro",246,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1252,152.584,-25.725,"Gympie Hospital","Princess Alexandra Hospital (PAH)",99.371458455
"Augathella",339,"Augathella Hospital","Brisbane (PAH/RBWH)",1253,146.5842,-25.79596,"Roma Hospital","Princess Alexandra Hospital (PAH)",330.095013665
"Injune",333,"Injune Hospital","Brisbane (PAH/RBWH)",1254,148.5651,-25.84311,"Roma Hospital","Princess Alexandra Hospital (PAH)",217.55553453
"Bauple Forest",274,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1255,152.636,-25.85212,"Gympie Hospital","Princess Alexandra Hospital (PAH)",96.814315275
"Rainbow Beach",159,NA,"Brisbane (PAH/RBWH)",1256,153.0922,-25.90782,"Gympie Hospital","Princess Alexandra Hospital (PAH)",108.36166738
"Tin Can Bay",159,NA,"Brisbane (PAH/RBWH)",1257,153.0031,-25.91357,"Gympie Hospital","Princess Alexandra Hospital (PAH)",94.839136265
"Glenwood",272,"Hervey Bay Hospital","Brisbane (PAH/RBWH)",1258,152.6324,-25.94735,"Gympie Hospital","Princess Alexandra Hospital (PAH)",85.80235912
"Cooloola Village",155,NA,"Brisbane (PAH/RBWH)",1259,152.982,-25.97598,"Gympie Hospital","Princess Alexandra Hospital (PAH)",96.241809235
"Curra",208,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1260,152.5881,-26.07081,"Gympie Hospital","Princess Alexandra Hospital (PAH)",71.829087465
"Kilkivan",164,NA,"Brisbane (PAH/RBWH)",1261,152.2399,-26.08621,"Gympie Hospital","Princess Alexandra Hospital (PAH)",92.19596873
"Wandoan",321,"Miles Hospital","Brisbane (PAH/RBWH)",1262,149.9628,-26.12088,"Roma Hospital","Princess Alexandra Hospital (PAH)",191.004652975
"Proston",170,"Murgon Hospital","Brisbane (PAH/RBWH)",1263,151.603,-26.16377,"Gympie Hospital","Princess Alexandra Hospital (PAH)",152.227544725
"Goomeri",173,"Murgon Hospital","Brisbane (PAH/RBWH)",1264,152.0647,-26.18048,"Gympie Hospital","Princess Alexandra Hospital (PAH)",110.157022345
"Gympie",160,"Gympie Hospital","Brisbane (PAH/RBWH)",1265,152.6706,-26.18893,"Gympie Hospital","Princess Alexandra Hospital (PAH)",58.968224905
"The Palms",160,"Gympie Hospital","Brisbane (PAH/RBWH)",1266,152.5889,-26.19336,"Gympie Hospital","Princess Alexandra Hospital (PAH)",65.82183044
"Nahrunda",160,"Gympie Hospital","Brisbane (PAH/RBWH)",1267,152.6127,-26.20237,"Gympie Hospital","Princess Alexandra Hospital (PAH)",63.098330335
"Gowrie",325,"Charleville Hospital","Brisbane (PAH/RBWH)",1268,146.3207,-26.23114,"Roma Hospital","Princess Alexandra Hospital (PAH)",342.75143901
"Pie Creek",160,"Gympie Hospital","Brisbane (PAH/RBWH)",1269,152.6277,-26.23769,"Gympie Hospital","Princess Alexandra Hospital (PAH)",61.709738985
"Murgon",170,"Murgon Hospital","Brisbane (PAH/RBWH)",1270,151.9402,-26.24246,"Gympie Hospital","Princess Alexandra Hospital (PAH)",121.47632436
"Boreen Point",144,NA,"Brisbane (PAH/RBWH)",1271,152.9952,-26.28443,"Gympie Hospital","Princess Alexandra Hospital (PAH)",77.821716035
"Cherbourg",170,"Cherbourg Hospital","Brisbane (PAH/RBWH)",1272,151.9565,-26.28971,"Gympie Hospital","Princess Alexandra Hospital (PAH)",124.556759535
"Wondai",167,"Kingaroy Hospital","Brisbane (PAH/RBWH)",1273,151.8736,-26.32045,"Gympie Hospital","Princess Alexandra Hospital (PAH)",130.10546572
"Cooran",139,NA,"Brisbane (PAH/RBWH)",1274,152.8222,-26.33805,"Gympie Hospital","Princess Alexandra Hospital (PAH)",64.71663162
"Amamoor",145,NA,"Brisbane (PAH/RBWH)",1275,152.6748,-26.34607,"Gympie Hospital","Princess Alexandra Hospital (PAH)",63.17442681
"Cooroibah",176,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1276,152.9939,-26.35897,"Gympie Hospital","Princess Alexandra Hospital (PAH)",76.349732875
"Pomona",171,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1277,152.8533,-26.36256,"Gympie Hospital","Princess Alexandra Hospital (PAH)",64.09896967
"Forest Acres",136,NA,"Brisbane (PAH/RBWH)",1278,152.9413,-26.36638,"Gympie Hospital","Princess Alexandra Hospital (PAH)",67.20464219
"Black Mountain",168,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1279,152.8819,-26.40467,"Gympie Hospital","Princess Alexandra Hospital (PAH)",61.40989114
"Charleville",309,"Charleville Hospital","Brisbane (PAH/RBWH)",1280,146.2416,-26.40697,"Roma Hospital","Princess Alexandra Hospital (PAH)",328.665977255
"Sunshine Beach",170,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1281,153.1058,-26.41021,"Sunshine Coast University Hospital","Princess Alexandra Hospital (PAH)",72.63108456
"Cooroy",164,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1282,152.9089,-26.41875,"Gympie Hospital","Princess Alexandra Hospital (PAH)",60.96875212
"Doonan - Tinbeerwah",165,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1283,153.0119,-26.43781,"Sunshine Coast University Hospital","Princess Alexandra Hospital (PAH)",64.457888505
"Weyba Downs",162,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1284,153.0474,-26.45561,"Sunshine Coast University Hospital","Princess Alexandra Hospital (PAH)",63.863793215
"Imbil",146,NA,"Brisbane (PAH/RBWH)",1285,152.677,-26.46119,"Gympie Hospital","Princess Alexandra Hospital (PAH)",70.67323711
"Eumundi",160,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1286,152.9513,-26.47643,"Sunshine Coast University Hospital","Princess Alexandra Hospital (PAH)",58.530946095
"Mitchell",327,"Mitchell Hospital","Brisbane (PAH/RBWH)",1287,147.976,-26.48827,"Roma Hospital","Princess Alexandra Hospital (PAH)",215.935451725
"Kingaroy",165,"Kingaroy Hospital","Brisbane (PAH/RBWH)",1288,151.8443,-26.53645,"Gympie Hospital","Princess Alexandra Hospital (PAH)",128.12553584
"Yandina",155,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1289,152.9565,-26.56212,"Sunshine Coast University Hospital","Princess Alexandra Hospital (PAH)",53.02662388
"Roma",321,"Roma Hospital","Brisbane (PAH/RBWH)",1290,148.7879,-26.57094,"Roma Hospital","Princess Alexandra Hospital (PAH)",160.608427085
"Wallumbilla",386,"Roma Hospital","Brisbane (PAH/RBWH)",1291,149.187,-26.58483,"Roma Hospital","Princess Alexandra Hospital (PAH)",161.013251935
"Kenilworth",139,NA,"Brisbane (PAH/RBWH)",1292,152.727,-26.59522,"Maleny Soldiers Memorial Hospital","Princess Alexandra Hospital (PAH)",70.45075853
"Kureelpa",128,NA,"Brisbane (PAH/RBWH)",1293,152.8837,-26.60834,"Maleny Soldiers Memorial Hospital","Princess Alexandra Hospital (PAH)",56.95072395
"Yuleba",398,"Roma Hospital","Brisbane (PAH/RBWH)",1294,149.381,-26.61304,"Roma Hospital","Princess Alexandra Hospital (PAH)",160.782874155
"Quilpie",363,"Quilpie Hospital","Brisbane (PAH/RBWH)",1295,144.2683,-26.61502,"Roma Hospital","Princess Alexandra Hospital (PAH)",459.062441105
"Mapleton",131,NA,"Brisbane (PAH/RBWH)",1296,152.8651,-26.62074,"Maleny Soldiers Memorial Hospital","Princess Alexandra Hospital (PAH)",56.94964691
"Nambour",153,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1297,152.9592,-26.62753,"Sunshine Coast University Hospital","Princess Alexandra Hospital (PAH)",50.66487677
"Kiels Mountain",151,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1298,153.001,-26.6527,"Sunshine Coast University Hospital","Princess Alexandra Hospital (PAH)",47.812294865
"Flaxton",174,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1299,152.8647,-26.65557,"Maleny Soldiers Memorial Hospital","Princess Alexandra Hospital (PAH)",55.44014639
"Miles",305,"Miles Hospital","Brisbane (PAH/RBWH)",1300,150.1857,-26.65858,"Roma Hospital","Princess Alexandra Hospital (PAH)",160.326718555
"Woombye",149,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1301,152.9666,-26.66148,"Sunshine Coast University Hospital","Princess Alexandra Hospital (PAH)",47.191062565
"Nanango",155,"Nanango Hospital","Brisbane (PAH/RBWH)",1302,151.9992,-26.6713,"Gympie Hospital","Princess Alexandra Hospital (PAH)",116.315173055
"Palmwoods",158,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1303,152.9568,-26.69113,"Sunshine Coast University Hospital","Princess Alexandra Hospital (PAH)",51.59772381
"Witta",168,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1304,152.8107,-26.70454,"Maleny Soldiers Memorial Hospital","Princess Alexandra Hospital (PAH)",47.0834796
"Chinchilla",309,"Chinchilla Hospital","Brisbane (PAH/RBWH)",1305,150.628,-26.74202,"Roma Hospital","Princess Alexandra Hospital (PAH)",160.64087285
"Maleny",126,NA,"Brisbane (PAH/RBWH)",1306,152.848,-26.75878,"Maleny Soldiers Memorial Hospital","Princess Alexandra Hospital (PAH)",39.387085985
"Mooloolah",150,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1307,152.9616,-26.76553,"Maleny Soldiers Memorial Hospital","Princess Alexandra Hospital (PAH)",42.042517225
"Glenview",141,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1308,153.0204,-26.76952,"Sunshine Coast University Hospital","Princess Alexandra Hospital (PAH)",39.414259375
"Jandowae",309,"Jandowae Hospital","Brisbane (PAH/RBWH)",1309,151.1101,-26.78068,"Gympie Hospital","Princess Alexandra Hospital (PAH)",164.32020343
"Landsborough",145,"Sunshine Coast University Hospital","Brisbane (PAH/RBWH)",1310,152.9652,-26.80826,"Maleny Soldiers Memorial Hospital","Princess Alexandra Hospital (PAH)",39.69081071
"Yarraman",155,"Nanango Hospital","Brisbane (PAH/RBWH)",1311,151.9796,-26.84046,"Maleny Soldiers Memorial Hospital","Princess Alexandra Hospital (PAH)",109.52589089
"Peachester",126,NA,"Brisbane (PAH/RBWH)",1312,152.8871,-26.84242,"Maleny Soldiers Memorial Hospital","Princess Alexandra Hospital (PAH)",45.624212765
"Beerwah",123,NA,"Brisbane (PAH/RBWH)",1313,152.954,-26.85293,"Maleny Soldiers Memorial Hospital","Princess Alexandra Hospital (PAH)",40.72427221
"Blackbutt",156,"Nanango Hospital","Brisbane (PAH/RBWH)",1314,152.1042,-26.88722,"Maleny Soldiers Memorial Hospital","Princess Alexandra Hospital (PAH)",98.72641329
"Glass House Mountain",68,NA,"Brisbane (PAH/RBWH)",1315,152.9507,-26.89771,"Sunshine Coast University Hospital","Princess Alexandra Hospital (PAH)",40.755656915
"Bell",179,"Dalby Hospital","Brisbane (PAH/RBWH)",1316,151.4491,-26.93176,"Gympie Hospital","Princess Alexandra Hospital (PAH)",154.657185275
"Beerburrum - North",62,NA,"Brisbane (PAH/RBWH)",1317,152.957,-26.93545,"Sunshine Coast University Hospital","Princess Alexandra Hospital (PAH)",37.92331556
"Kilcoy",133,NA,"Brisbane (PAH/RBWH)",1318,152.5638,-26.94019,"Maleny Soldiers Memorial Hospital","Princess Alexandra Hospital (PAH)",61.29255065
"Woodford",73,NA,"Brisbane (PAH/RBWH)",1319,152.778,-26.95557,"Maleny Soldiers Memorial Hospital","Princess Alexandra Hospital (PAH)",46.67350847
"Beerburrum",64,NA,"Brisbane (PAH/RBWH)",1320,152.955,-26.96138,"Sunshine Coast University Hospital","Princess Alexandra Hospital (PAH)",39.54292047
"D'Aguilar",68,NA,"Brisbane (PAH/RBWH)",1321,152.7984,-26.98884,"Maleny Soldiers Memorial Hospital","Princess Alexandra Hospital (PAH)",46.44246969
